Item,Reference(s),Quantity,Manufacturer,Manufacturer Part Number,Vendor,Vendor Part Number,Description,Package
1,C1 C2,2,TDK Corporation,C2012X5R1V106M085AC,Digi-Key,445-14419-1-ND,CAP CER 10UF 35V X5R,0805 (2012 Metric)
2,C3 C4 C5 C6 C7 C8 C9,7,KEMET,C0805T104K5RAL7800,Digi-Key,399-14636-1-ND,CAP CER 0.1UF 50V X7R,0805 (2012 Metric)
3,D1 D10 D11 D12 D13 D14 D15 D16 D17 D2 D3 D4 D5 D6 D7 D8 D9,17,Lite-On Inc.,LTST-C170GKT,Digi-Key,160-1179-1-ND,LED GREEN CLEAR SMD,0805 (2012 Metric)
4,HPS1 HPS2 HPS3 HPS4,4,Infineon Technologies,BTS3256DAUMA1,Digi-Key,BTS3256DAUMA1CT-ND,IC SWITCH SMART LOWSIDE,TO-252-5
5,J1,1,HARTING,09551156612741,Digi-Key,1195-4005-1-ND,CONN D-SUB RCPT 9POS SMD SOLDER,
6,J10 J3 J4 J5 J6 J7 J8 J9,8,Phoenix Contact,1411976,Digi-Key,277-10282-1-ND,CONN FMALE INSERT 5POS SOLDER,
7,J2,1,HARTING,09551296812741,Digi-Key,1195-4006-1-ND,CONN D-SUB PLUG 9POS SMD SOLDER,
8,P1,1,Molex,0039301060,Digi-Key,WM1353-ND,CONN HEADER 6POS 4.2MM R/A TIN,
9,R1,1,Panasonic Electronic Components,ERJ-6ENF2201V,Digi-Key,P2.20KCCT-ND,RES SMD 2.2K OHM 1% 1/8W,0805 (2012 Metric)
10,R10 R2 R4 R6 R8,5,Panasonic Electronic Components,ERJ-6ENF5901V,Digi-Key,P5.90KCCT-ND,RES SMD 5.9K OHM 1% 1/8W,0805 (2012 Metric)
11,R11 R13 R15 R17 R19 R20 R21 R22 R23 R24 R25 R26 R3 R5 R7 R9,16,Panasonic Electronic Components,ERJ-6ENF2870V,Digi-Key,P287CCT-ND,RES SMD 287 OHM 1% 1/8W,0805 (2012 Metric)
12,R12 R14 R16 R18,4,Panasonic Electronic Components,ERJ-6ENF75R0V,Digi-Key,P75.0CCT-ND,RES SMD 75 OHM 1% 1/8W,0805 (2012 Metric)
13,REG1,1,Recom Power,R-78C5.0-1.0,Digi-Key,945-1395-5-ND,CONV DC/DC 1A 5V OUT SIP VERT,3-SIP Module
14,SW1 SW2,2,C&K,KT11P4SM34LFS,Digi-Key,CKN1860CT-ND,SWITCH TACTILE SPST-NO 1VA 32V,
15,TEENSY1,1,SparkFun Electronics,DEV-14056,Digi-Key,1568-1464-ND,TEENSY 3.5 HDRS K64 EVAL BRD,
16,U1 U2,2,Texas Instruments,SN74ABT541BDWR,Digi-Key,296-14668-1-ND,Buffer Non-Inverting 1 Element 8 Bit per Element Push-Pull Output,20-SOIC
17,U10 U11 U3 U4 U5 U6 U7 U8 U9,9,ON Semiconductor,NUD3124LT1G,Digi-Key,NUD3124LT1GOSCT-ND,IC INDCT LOAD DRVR AUTO,SOT-23-3
18,U12,1,Maxim Integrated,MAX6817EUT+T,Digi-Key,MAX6817EUT+TCT-ND,IC DEBOUNCER SWITCH DUAL,SOT-23-6
